"Source: Department of Labor, 2015 avg weekly benefits for each month at state level, https://workforcesecurity.doleta.gov/unemploy/claimssum.asp",,
Date,State,Weekly Benefits
4/30/15,West Virginia,$299.07 
5/31/15,West Virginia,$299.29 
6/30/15,West Virginia,$302.38 
7/31/15,West Virginia,$300.49 
8/31/15,West Virginia,$302.70 
9/30/15,West Virginia,$307.78 
10/31/15,West Virginia,$308.48 
11/30/15,West Virginia,$308.40 
12/31/15,West Virginia,$308.65 
1/31/15,Wisconsin,$295.57 
2/28/15,Wisconsin,$300.75 
3/31/15,Wisconsin,$301.00 
4/30/15,Wisconsin,$296.32 
5/31/15,Wisconsin,$291.29 
6/30/15,Wisconsin,$284.87 
7/31/15,Wisconsin,$276.76 
8/31/15,Wisconsin,$278.50 
9/30/15,Wisconsin,$300.76 
10/31/15,Wisconsin,$303.98 
11/30/15,Wisconsin,$304.93 
12/31/15,Wisconsin,$309.86 
