"","hfam_age_bin","wt","share"
"1",10,692379.9982,0.0102936843233958
"2",20,14698680.8192,0.218526792681109
"3",30,15498676.6005,0.230420411870223
"4",40,18208234.0027,0.270703679190015
"5",50,12243370.9846,0.182023449980269
"6",60,4588169.1845,0.0682127810311656
"7",70,1333091.0361,0.0198192009238231
