"","key","Under 21","Median Fam Inc","Fam Inc","Poverty Rate","Fam Earn","Person Earn","Other Earn > 0","Others' Earn"
"1","Employed",0.0599492611199722,6019.22957542228,7333.2580000527,0.0694960802544397,6799.76791069542,3722.93489244688,0.606994669492588,3076.83301824854
"2","Unemployed: All",0.218082696299002,4373.8906371123,5596.33237804864,0.162518371711829,5064.3036845035,2041.58123579918,0.560462748769972,3022.72244870431
"3","Unemployed: Get UI",0.0232860205993836,5106.49965365006,6290.38849687364,0.0814955533890217,5750.12283234174,3273.04661092369,0.536669313473947,2477.07622141805
